地区1,地区2,地区3,備考,,もやすごみ,生ごみ,びん・カン,プラマークごみ,ペットボトル,こわすごみ,危険ごみ,布類,うめるごみ
旭町,字餌指,1～9-9999,,旭校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
旭町,字餌指,10～33-9999,,八町校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
芦原町,,,,芦原校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/02/03#28,2026/02/04#28,2026/02/17#56,2026/01/13#56
東田町,下記以外,,,東田校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/12#28,2026/01/14#28,2026/01/19#56,2026/02/23#56
東田町,字井原,,,岩田校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/19#28,2026/01/14#28,2026/03/02#56,2026/01/12#56
東田町,字北臨済寺,1～1-9999,,旭校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
東田町,字北臨済寺,22-4～67-9999,,東田校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/12#28,2026/01/14#28,2026/01/19#56,2026/02/23#56
東田町,字北蓮田,,,旭校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
東田町,字西前山,旭校区,※校区が不明な場合は、校区検索< http://www.city.toyohashi.lg.jp/12080.htm >またはゼロカーボンシティ推進課　電話：0532-51-2399 へお問い合わせください。,旭校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
東田町,字西前山,東田校区,※校区が不明な場合は、校区検索< http://www.city.toyohashi.lg.jp/12080.htm >またはゼロカーボンシティ推進課　電話：0532-51-2399 へお問い合わせください。,東田校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/12#28,2026/01/14#28,2026/01/19#56,2026/02/23#56
東田町,字西脇,八町校区,※校区が不明な場合は、校区検索< http://www.city.toyohashi.lg.jp/12080.htm >またはゼロカーボンシティ推進課　電話：0532-51-2399 へお問い合わせください。,八町校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
東田町,字西脇,東田校区,※校区が不明な場合は、校区検索< http://www.city.toyohashi.lg.jp/12080.htm >またはゼロカーボンシティ推進課　電話：0532-51-2399 へお問い合わせください。,東田校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/12#28,2026/01/14#28,2026/01/19#56,2026/02/23#56
東田町,字東前山,1～7-9999,,東田校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/12#28,2026/01/14#28,2026/01/19#56,2026/02/23#56
東田町,字東前山,8～29-9999,,旭校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
東田町,字前畑,,,旭校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
東田中郷町,,,,東田校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/12#28,2026/01/14#28,2026/01/19#56,2026/02/23#56
東田仲の町,,,,東田校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/12#28,2026/01/14#28,2026/01/19#56,2026/02/23#56
吾妻町,,,,東田校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/12#28,2026/01/14#28,2026/01/19#56,2026/02/23#56
池見町,,,,旭校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
伊古部町,,,,高豊校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/12#28,2026/01/14#28,2026/01/19#56,2026/02/23#56
石巻小野田町,,,,西郷校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/02/02#28,2026/01/28#28,2026/01/26#56,2026/02/16#56
石巻町,,,,石巻校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/12#28,2026/01/14#28,2026/01/19#56,2026/02/23#56
石巻中山町,,,,西郷校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/02/02#28,2026/01/28#28,2026/01/26#56,2026/02/16#56
石巻西川町,,,,西郷校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/02/02#28,2026/01/28#28,2026/01/26#56,2026/02/16#56
石巻萩平町,,,,西郷校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/02/02#28,2026/01/28#28,2026/01/26#56,2026/02/16#56
石巻平野町,,,,西郷校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/02/02#28,2026/01/28#28,2026/01/26#56,2026/02/16#56
石巻本町,,,,玉川校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/19#28,2026/01/14#28,2026/03/02#56,2026/01/12#56
磯辺下地町,下記以外,,,磯辺校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/02/03#28,2026/02/04#28,2026/02/17#56,2026/01/13#56
磯辺下地町,字葭山,1～13-9999,,芦原校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/02/03#28,2026/02/04#28,2026/02/17#56,2026/01/13#56
磯辺下地町,字葭山,14～74-9999,,磯辺校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/02/03#28,2026/02/04#28,2026/02/17#56,2026/01/13#56
市場一丁目,,,,牟呂校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/26#28,2026/01/28#28,2026/02/02#56,2026/02/09#56
一色町,,,,磯辺校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/02/03#28,2026/02/04#28,2026/02/17#56,2026/01/13#56
井原町,下記以外,,,岩田校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/19#28,2026/01/14#28,2026/03/02#56,2026/01/12#56
井原町,7-3,,,東田校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/12#28,2026/01/14#28,2026/01/19#56,2026/02/23#56
今橋町,,,,八町校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
飯村北一丁目～五丁目,,,,飯村校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/02/03#28,2026/02/04#28,2026/02/17#56,2026/01/13#56
飯村町,,,,飯村校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/02/03#28,2026/02/04#28,2026/02/17#56,2026/01/13#56
飯村南一丁目～五丁目,,,,飯村校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/02/03#28,2026/02/04#28,2026/02/17#56,2026/01/13#56
入船町,下記以外,,,福岡校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/20#28,2026/01/21#28,2026/01/27#56,2026/03/03#56
入船町,10～54-9999,,,羽根井校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
入船町,62～69-9999,,,羽根井校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
入船町,71～71-9999,,,羽根井校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
岩崎町,,,,多米校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/26#28,2026/01/28#28,2026/02/02#56,2026/02/09#56
岩田町,下記以外,,,岩田校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/19#28,2026/01/14#28,2026/03/02#56,2026/01/12#56
岩田町,字影岩,,,多米校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/26#28,2026/01/28#28,2026/02/02#56,2026/02/09#56
岩田町,字道合,,,東田校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/12#28,2026/01/14#28,2026/01/19#56,2026/02/23#56
岩田町,字宮下,,,東田校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/12#28,2026/01/14#28,2026/01/19#56,2026/02/23#56
岩屋町,字岩屋下,飯村校区,※校区が不明な場合は、校区検索< http://www.city.toyohashi.lg.jp/12080.htm >またはゼロカーボンシティ推進課　電話：0532-51-2399 へお問い合わせください。,飯村校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/02/03#28,2026/02/04#28,2026/02/17#56,2026/01/13#56
岩屋町,字岩屋下,岩西校区,※校区が不明な場合は、校区検索< http://www.city.toyohashi.lg.jp/12080.htm >またはゼロカーボンシティ推進課　電話：0532-51-2399 へお問い合わせください。,岩西校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
岩屋町,字岩屋西,飯村校区,※校区が不明な場合は、校区検索< http://www.city.toyohashi.lg.jp/12080.htm >またはゼロカーボンシティ推進課　電話：0532-51-2399 へお問い合わせください。,飯村校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/02/03#28,2026/02/04#28,2026/02/17#56,2026/01/13#56
岩屋町,字岩屋西,岩西校区,※校区が不明な場合は、校区検索< http://www.city.toyohashi.lg.jp/12080.htm >またはゼロカーボンシティ推進課　電話：0532-51-2399 へお問い合わせください。,岩西校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
上地町,,,,東田校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/12#28,2026/01/14#28,2026/01/19#56,2026/02/23#56
植田町,,,,植田校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/19#28,2026/01/14#28,2026/03/02#56,2026/01/12#56
上野町,,,,高師校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/26#28,2026/01/28#28,2026/02/02#56,2026/02/09#56
魚町,,,,新川校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/20#28,2026/01/21#28,2026/01/27#56,2026/03/03#56
牛川町,下記以外,,,牛川校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/12#28,2026/01/14#28,2026/01/19#56,2026/02/23#56
牛川町,字池下,,,鷹丘校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/26#28,2026/01/28#28,2026/02/02#56,2026/02/09#56
牛川町,字押川,,,鷹丘校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/26#28,2026/01/28#28,2026/02/02#56,2026/02/09#56
牛川町,字寺前,,,鷹丘校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/26#28,2026/01/28#28,2026/02/02#56,2026/02/09#56
牛川町,字乗小路,,,鷹丘校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/26#28,2026/01/28#28,2026/02/02#56,2026/02/09#56
牛川町,字東仲田,,,鷹丘校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/26#28,2026/01/28#28,2026/02/02#56,2026/02/09#56
牛川通一丁目～四丁目,,,,牛川校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/12#28,2026/01/14#28,2026/01/19#56,2026/02/23#56
牛川通五丁目,牛川校区,,※校区が不明な場合は、校区検索< http://www.city.toyohashi.lg.jp/12080.htm >またはゼロカーボンシティ推進課　電話：0532-51-2399 へお問い合わせください。,牛川校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/12#28,2026/01/14#28,2026/01/19#56,2026/02/23#56
牛川通五丁目,玉川校区,,※校区が不明な場合は、校区検索< http://www.city.toyohashi.lg.jp/12080.htm >またはゼロカーボンシティ推進課　電話：0532-51-2399 へお問い合わせください。,玉川校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/19#28,2026/01/14#28,2026/03/02#56,2026/01/12#56
牛川薬師町,,,,牛川校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/12#28,2026/01/14#28,2026/01/19#56,2026/02/23#56
内張町,,,,磯辺校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/02/03#28,2026/02/04#28,2026/02/17#56,2026/01/13#56
雲谷町,下記以外,,,谷川校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
雲谷町,字上ノ山,谷川校区,※校区が不明な場合は、校区検索< http://www.city.toyohashi.lg.jp/12080.htm >またはゼロカーボンシティ推進課　電話：0532-51-2399 へお問い合わせください。,谷川校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
雲谷町,字上ノ山,二川校区,※校区が不明な場合は、校区検索< http://www.city.toyohashi.lg.jp/12080.htm >またはゼロカーボンシティ推進課　電話：0532-51-2399 へお問い合わせください。,二川校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
雲谷町,字新外ノ谷,,,二川校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
雲谷町,字外ノ谷,,,二川校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
雲谷町,字ハシヅメ,,,二川校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
雲谷町,字ハシズメ,,,二川校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
雲谷町,字橋詰,,,二川校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
梅薮町,,,,前芝校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/02/02#28,2026/01/28#28,2026/01/26#56,2026/02/16#56
梅薮西町,,,,前芝校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/02/02#28,2026/01/28#28,2026/01/26#56,2026/02/16#56
瓜郷町,,,,津田校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/26#28,2026/01/28#28,2026/02/02#56,2026/02/09#56
駅前大通一丁目～三丁目,,,,松山校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
江島町,,,,幸校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/20#28,2026/01/21#28,2026/01/27#56,2026/03/03#56
老津町,下記以外,,,老津校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/19#28,2026/01/14#28,2026/03/02#56,2026/01/12#56
老津町,字中原,1～66-9999,,老津校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/19#28,2026/01/14#28,2026/03/02#56,2026/01/12#56
老津町,字中原,上記以外,,富士見校区,"火金,-2026/01/02","火金,-2026/01/02","木,-2026/01/01",水,水,2026/01/12#28,2026/01/14#28,2026/01/19#56,2026/02/23#56
老松町,5～195-9999,,,旭校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
老松町,196～197-9999,,,向山校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/02/03#28,2026/02/04#28,2026/02/17#56,2026/01/13#56
往完町,,,,羽根井校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
大井町,,,,向山校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/02/03#28,2026/02/04#28,2026/02/17#56,2026/01/13#56
大岩町,字荒古,,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字岩田,,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字大穴,,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字行田,1～5-9999,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字行田,13～14,,二川校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
大岩町,字小山塚,,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字北田,,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字北元屋敷,,,二川校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
大岩町,字北山,二川校区,※校区が不明な場合は、校区検索< http://www.city.toyohashi.lg.jp/12080.htm >またはゼロカーボンシティ推進課　電話：0532-51-2399 へお問い合わせください。,二川校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
大岩町,字北山,飯村校区,※校区が不明な場合は、校区検索< http://www.city.toyohashi.lg.jp/12080.htm >またはゼロカーボンシティ推進課　電話：0532-51-2399 へお問い合わせください。,飯村校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/02/03#28,2026/02/04#28,2026/02/17#56,2026/01/13#56
大岩町,字久保田,二川校区,※校区が不明な場合は、校区検索< http://www.city.toyohashi.lg.jp/12080.htm >またはゼロカーボンシティ推進課　電話：0532-51-2399 へお問い合わせください。,二川校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
大岩町,字久保田,二川南校区,※校区が不明な場合は、校区検索< http://www.city.toyohashi.lg.jp/12080.htm >またはゼロカーボンシティ推進課　電話：0532-51-2399 へお問い合わせください。,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字車田,,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字黒下,,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字境目,,,飯村校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/02/03#28,2026/02/04#28,2026/02/17#56,2026/01/13#56
大岩町,字沢渡,1～38,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字沢渡,40～90-9999,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字沢渡,上記以外,,二川校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
大岩町,字下渡,,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字菅池,,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字高足道,下記以外,,二川校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
大岩町,字高足道,50～66-9999,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字反茂,,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字佃,下記以外,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字佃,14～23-9999,,二川校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
大岩町,字西荒田,,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字西郷内,,,二川校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
大岩町,字火打坂,飯村校区,※校区が不明な場合は、校区検索< http://www.city.toyohashi.lg.jp/12080.htm >またはゼロカーボンシティ推進課　電話：0532-51-2399 へお問い合わせください。,飯村校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/02/03#28,2026/02/04#28,2026/02/17#56,2026/01/13#56
大岩町,字火打坂,二川校区,※校区が不明な場合は、校区検索< http://www.city.toyohashi.lg.jp/12080.htm >またはゼロカーボンシティ推進課　電話：0532-51-2399 へお問い合わせください。,二川校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
大岩町,字東荒田,,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字東郷内,,,二川校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/13#28,2026/02/04#28,2026/02/24#56,2026/01/20#56
大岩町,字東畑,,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字本郷,,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字前荒田,,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
大岩町,字前田,,,二川南校区,"月木,-2026/01/01","月木,-2026/01/01","金,-2026/01/02",水,水,2026/01/27#28,2026/01/21#28,2026/02/10#56,2026/02/03#56
